name,n_mutants,spearman,ndcg,top_recall_10pct,mean_plddt,fold,p0,T
A0A140D2T1_ZIKV_Sourisseau_2019,9576,0.11175128135145067,0.25734195686899564,0.1127348643006263,64.34284973144531,0,40.0,10.0
A0A192B1T2_9HIV1_Haddox_2018,12577,0.3817449870400364,0.8132337532218353,0.1518282988871224,74.73258972167969,2,40.0,5.0
A0A1I9GEU1_NEIME_Kennouche_2019,922,0.17647487292158678,0.6218873618928173,0.1827956989247312,93.31192016601562,2,40.0,5.0
A0A247D711_LISMN_Stadelmann_2021,1653,0.47564665390436706,0.9395728627728729,0.18674698795180722,91.35069274902344,3,40.0,10.0
A0A2Z5U3Z0_9INFA_Doud_2016,10715,0.3191188685323795,0.8615067781485802,0.17164179104477612,86.60649871826172,3,40.0,10.0
A0A2Z5U3Z0_9INFA_Wu_2014,2350,0.3085562554179643,0.11385648467635283,0.22127659574468084,86.60527801513672,1,40.0,10.0
A4D664_9INFA_Soh_2019,14421,0.2039928890835436,0.12948424228599062,0.13374913374913375,91.17082214355469,0,40.0,10.0
A4GRB6_PSEAI_Chen_2020,5004,0.6317946877743932,0.8497846554058273,0.21357285429141717,91.02559661865234,4,40.0,10.0
A4_HUMAN_Seuma_2022,14811,0.3980283398659964,0.8282805250032964,0.1396761133603239,66.71468353271484,2,40.0,5.0
AACC1_PSEAI_Dandage_2018,1801,0.4269784669854861,0.7815930970477325,0.19337016574585636,89.28068542480469,1,40.0,10.0
ACE2_HUMAN_Chan_2020,2223,0.18468747706332103,0.7724448643092603,0.13901345291479822,89.89033508300781,1,40.0,10.0
ADRB2_HUMAN_Jones_2020,7800,0.3858851291232411,0.7933354041441291,0.13076923076923078,76.81987762451172,2,40.0,5.0
AICDA_HUMAN_Gajula_2014_3cycles,209,0.24105241513690495,0.3562128877784773,0.14285714285714285,88.91484069824219,4,40.0,10.0
AMFR_HUMAN_Tsuboyama_2023_4G3O,2972,0.41808276940535066,0.9098075204444216,0.3859060402684564,97.41511535644531,1,40.0,10.0
AMIE_PSEAE_Wrenbeck_2017,6227,0.39363662343100475,0.956858855495139,0.16211878009630817,97.87737274169922,4,40.0,10.0
ANCSZ_Hobbs_2022,4670,0.5657164625400459,0.9639417247166777,0.17987152034261242,81.4455337524414,2,40.0,5.0
ARGR_ECOLI_Tsuboyama_2023_1AOY,1287,0.658545356192256,0.9486213864533819,0.32558139534883723,92.61566162109375,2,40.0,5.0
